NodeId;X;Y;Z;TagId;Range;TimeStamp
p1;0;4.0;0;D62A;3.24;1693535872353240236
p3;2.0;8.0;0;D62A;7.02;1693535764537072646
p2;4.0;4.0;0;D62A;4.22;1693543119913150279
p1;0;4.0;0;D62A;3.18;1693535872452496903
p3;2.0;8.0;0;D62A;7.09;1693535764637834127
p2;4.0;4.0;0;D62A;4.22;1693543120012596946
p1;0;4.0;0;D62A;3.18;1693535872552478847
p3;2.0;8.0;0;D62A;7.06;1693535764736255201
p2;4.0;4.0;0;D62A;4.21;1693543120112166501
p1;0;4.0;0;D62A;3.19;1693535872652630996
p3;2.0;8.0;0;D62A;7.12;1693535764836259683
p2;4.0;4.0;0;D62A;4.17;1693543120212726131
p1;0;4.0;0;D62A;3.19;1693535872753273329
p3;2.0;8.0;0;D62A;7.11;1693535764936859794
p2;4.0;4.0;0;D62A;4.17;1693543120312191297
p1;0;4.0;0;D62A;3.19;1693535872852540570
p3;2.0;8.0;0;D62A;7.11;1693535765036769664
p2;4.0;4.0;0;D62A;4.16;1693543120412699038
p1;0;4.0;0;D62A;3.19;1693535872952367125
p3;2.0;8.0;0;D62A;7.16;1693535765136304016
p2;4.0;4.0;0;D62A;4.17;1693543120512230964
p1;0;4.0;0;D62A;3.19;1693535873053006625
p3;2.0;8.0;0;D62A;7.13;1693535765236632923
p2;4.0;4.0;0;D62A;4.16;1693543120612731371
p1;0;4.0;0;D62A;3.16;1693535873153224384
p3;2.0;8.0;0;D62A;6.96;1693535765336584849
p2;4.0;4.0;0;D62A;4.17;1693543120712196204
p1;0;4.0;0;D62A;3.12;1693535873252470662
p3;2.0;8.0;0;D62A;6.97;1693535765436538127
p2;4.0;4.0;0;D62A;4.16;1693543120812847556
p1;0;4.0;0;D62A;3.08;1693535873353013384
p3;2.0;8.0;0;D62A;7.04;1693535765536478942
p2;4.0;4.0;0;D62A;4.15;1693543120912132815
p1;0;4.0;0;D62A;3.05;1693535873453034162
p3;2.0;8.0;0;D62A;6.98;1693535765636731182
p2;4.0;4.0;0;D62A;4.20;1693543121012795075
p1;0;4.0;0;D62A;3.11;1693535873553339606
p3;2.0;8.0;0;D62A;6.87;1693535765736995071
p2;4.0;4.0;0;D62A;4.13;1693543121112224371
p1;0;4.0;0;D62A;3.10;1693535873652292273
p3;2.0;8.0;0;D62A;6.93;1693535765836263664
p2;4.0;4.0;0;D62A;4.17;1693543121212481574
p1;0;4.0;0;D62A;3.08;1693535873752713458
p3;2.0;8.0;0;D62A;7.00;1693535765936276645
p2;4.0;4.0;0;D62A;4.18;1693543121312280037
p1;0;4.0;0;D62A;3.15;1693535873852995587
p3;2.0;8.0;0;D62A;7.02;1693535766036275164
p2;4.0;4.0;0;D62A;4.18;1693543121412659260
p1;0;4.0;0;D62A;3.07;1693535873953249402
p3;2.0;8.0;0;D62A;6.93;1693535766137241330
p2;4.0;4.0;0;D62A;4.16;1693543121512287371
p1;0;4.0;0;D62A;3.11;1693535874053546384
p3;2.0;8.0;0;D62A;7.03;1693535766237413515
p2;4.0;4.0;0;D62A;4.20;1693543121612900204
p1;0;4.0;0;D62A;3.09;1693535874152741347
p3;2.0;8.0;0;D62A;6.99;1693535766337171312
p2;4.0;4.0;0;D62A;4.14;1693543121712281574
p1;0;4.0;0;D62A;3.13;1693535874253020809
p3;2.0;8.0;0;D62A;7.04;1693535766437145237
p2;4.0;4.0;0;D62A;4.21;1693543121812622222
p1;0;4.0;0;D62A;3.13;1693535874353306939
p3;2.0;8.0;0;D62A;6.96;1693535766537082404
p2;4.0;4.0;0;D62A;4.17;1693543121912284370
