Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM
P5[13.00,24.00,0.00]=3.99;P9[13.00,16.50,0.00]=5.04;P6[6.70,18.03,0.00]=5.54;null;[11.15, 20.88, 1.66];[11.17,20.88,-1.62];19:18:47.446;11.17;20.88;11.15;20.88;12;20.40;0.85;-0.48;0.83;-0.48
P5[13.00,24.00,0.00]=3.98;P9[13.00,16.50,0.00]=4.98;P6[6.70,18.03,0.00]=5.53;null;[11.15, 21.01, 0.0];[11.17,20.87,-1.61];19:18:47.447;11.17;20.87;11.15;21.01;12;20.40;0.85;-0.61;0.83;-0.47
P5[13.00,24.00,0.00]=4.00;P9[13.00,16.50,0.00]=4.99;P6[6.70,18.03,0.00]=5.57;null;[11.18, 21.02, 0.0];[11.18,20.87,-1.63];19:18:47.447;11.18;20.87;11.18;21.02;12;20.40;0.82;-0.62;0.82;-0.47
P5[13.00,24.00,0.00]=3.95;P9[13.00,16.50,0.00]=4.98;P6[6.70,18.03,0.00]=5.58;P4[11.00,11.00,0.00]=10.59;[11.02, 21.46, 0.0];[11.19,20.87,-1.63];19:18:47.448;11.19;20.87;11.02;21.46;12;20.40;0.98;-1.06;0.81;-0.47
P5[13.00,24.00,0.00]=3.97;P9[13.00,16.50,0.00]=4.98;P6[6.70,18.03,0.00]=5.59;P4[11.00,11.00,0.00]=10.57;[11.03, 21.44, 0.0];[11.20,20.86,-1.63];19:18:47.448;11.20;20.86;11.03;21.44;12;20.40;0.97;-1.04;0.8;-0.46
P5[13.00,24.00,0.00]=3.95;P9[13.00,16.50,0.00]=5.03;P6[6.70,18.03,0.00]=5.52;P4[11.00,11.00,0.00]=10.12;[11.09, 21.11, 0.0];[11.19,20.87,-1.62];19:18:47.449;11.19;20.87;11.09;21.11;12;20.40;0.91;-0.71;0.81;-0.47
P5[13.00,24.00,0.00]=3.90;P9[13.00,16.50,0.00]=5.03;P6[6.70,18.03,0.00]=5.56;P4[11.00,11.00,0.00]=10.11;[11.15, 21.1, 0.0];[11.19,20.88,-1.61];19:18:47.449;11.19;20.88;11.15;21.1;12;20.40;0.85;-0.7;0.81;-0.48
P5[13.00,24.00,0.00]=3.93;P9[13.00,16.50,0.00]=5.01;P6[6.70,18.03,0.00]=5.58;P4[11.00,11.00,0.00]=10.23;[11.15, 21.05, 1.58];[11.19,20.89,-1.61];19:18:47.450;11.19;20.89;11.15;21.05;12;20.40;0.85;-0.65;0.81;-0.49
P5[13.00,24.00,0.00]=3.95;P9[13.00,16.50,0.00]=5.00;P6[6.70,18.03,0.00]=5.58;P4[11.00,11.00,0.00]=10.26;[11.12, 21.21, 0.0];[11.20,20.88,-1.62];19:18:47.450;11.20;20.88;11.12;21.21;12;20.40;0.88;-0.81;0.8;-0.48
P5[13.00,24.00,0.00]=3.97;P9[13.00,16.50,0.00]=4.96;P6[6.70,18.03,0.00]=5.58;P4[11.00,11.00,0.00]=10.10;[11.2, 20.94, 1.62];[11.21,20.87,-1.62];19:18:47.451;11.21;20.87;11.2;20.94;12;20.40;0.8;-0.54;0.79;-0.47
P5[13.00,24.00,0.00]=3.95;P9[13.00,16.50,0.00]=5.02;P6[6.70,18.03,0.00]=5.55;P4[11.00,11.00,0.00]=10.17;[11.11, 21.14, 0.0];[11.20,20.88,-1.62];19:18:47.451;11.20;20.88;11.11;21.14;12;20.40;0.89;-0.74;0.8;-0.48
P5[13.00,24.00,0.00]=3.93;P9[13.00,16.50,0.00]=5.02;P6[6.70,18.03,0.00]=5.56;P4[11.00,11.00,0.00]=10.18;[11.12, 21.15, 0.0];[11.20,20.88,-1.61];19:18:47.494;11.20;20.88;11.12;21.15;12;20.40;0.88;-0.75;0.8;-0.48
P5[13.00,24.00,0.00]=3.99;P9[13.00,16.50,0.00]=5.01;P6[6.70,18.03,0.00]=5.49;P4[11.00,11.00,0.00]=10.09;[11.07, 21.07, 0.0];[11.18,20.88,-1.61];19:18:47.595;11.18;20.88;11.07;21.07;12;20.40;0.93;-0.67;0.82;-0.48
P5[13.00,24.00,0.00]=3.97;P9[13.00,16.50,0.00]=5.00;P6[6.70,18.03,0.00]=5.46;P4[11.00,11.00,0.00]=10.09;[11.08, 20.95, 1.52];[11.16,20.87,-1.59];19:18:47.694;11.16;20.87;11.08;20.95;12;20.40;0.92;-0.55;0.84;-0.47
P5[13.00,24.00,0.00]=3.97;P9[13.00,16.50,0.00]=4.98;P6[6.70,18.03,0.00]=5.49;P4[11.00,11.00,0.00]=10.13;[11.08, 21.1, 0.0];[11.15,20.87,-1.58];19:18:47.794;11.15;20.87;11.08;21.1;12;20.40;0.92;-0.7;0.85;-0.47
P5[13.00,24.00,0.00]=3.97;P9[13.00,16.50,0.00]=5.01;P6[6.70,18.03,0.00]=5.57;P4[11.00,11.00,0.00]=10.14;[11.14, 21.12, 0.0];[11.16,20.87,-1.60];19:18:47.895;11.16;20.87;11.14;21.12;12;20.40;0.86;-0.72;0.84;-0.47
P5[13.00,24.00,0.00]=3.99;P9[13.00,16.50,0.00]=4.99;P6[6.70,18.03,0.00]=5.58;P4[11.00,11.00,0.00]=10.07;[11.18, 21.06, 0.0];[11.18,20.86,-1.61];19:18:47.995;11.18;20.86;11.18;21.06;12;20.40;0.82;-0.66;0.82;-0.46
P5[13.00,24.00,0.00]=4.04;P9[13.00,16.50,0.00]=4.98;P6[6.70,18.03,0.00]=5.55;P4[11.00,11.00,0.00]=11.16;[10.79, 21.88, 0.0];[11.18,20.85,-1.64];19:18:48.098;11.18;20.85;10.79;21.88;12;20.40;1.21;-1.48;0.82;-0.45
P5[13.00,24.00,0.00]=4.02;P9[13.00,16.50,0.00]=4.96;P6[6.70,18.03,0.00]=5.62;P4[11.00,11.00,0.00]=11.13;[10.88, 21.86, 0.0];[11.20,20.84,-1.66];19:18:48.198;11.20;20.84;10.88;21.86;12;20.40;1.12;-1.46;0.8;-0.44
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=4.99;P6[6.70,18.03,0.00]=5.56;P4[11.00,11.00,0.00]=10.64;[11.05, 21.51, 0.0];[11.21,20.88,-1.56];19:18:48.297;11.21;20.88;11.05;21.51;12;20.40;0.95;-1.11;0.79;-0.48
P5[13.00,24.00,0.00]=3.74;P9[13.00,16.50,0.00]=5.04;P6[6.70,18.03,0.00]=5.59;P4[11.00,11.00,0.00]=10.70;[11.03, 21.56, 0.0];[11.21,20.91,-1.52];19:18:48.396;11.21;20.91;11.03;21.56;12;20.40;0.97;-1.16;0.79;-0.51
P5[13.00,24.00,0.00]=3.70;P9[13.00,16.50,0.00]=5.00;P6[6.70,18.03,0.00]=5.60;P4[11.00,11.00,0.00]=10.52;[11.13, 21.42, 0.0];[11.22,20.93,-1.46];19:18:48.497;11.22;20.93;11.13;21.42;12;20.40;0.87;-1.02;0.78;-0.53
P5[13.00,24.00,0.00]=3.69;P9[13.00,16.50,0.00]=5.01;P6[6.70,18.03,0.00]=5.61;P4[11.00,11.00,0.00]=10.75;[11.06, 21.6, 0.0];[11.23,20.96,-1.42];19:18:48.597;11.23;20.96;11.06;21.6;12;20.40;0.94;-1.2;0.77;-0.56
P5[13.00,24.00,0.00]=4.01;P9[13.00,16.50,0.00]=5.04;P6[6.70,18.03,0.00]=5.63;P4[11.00,11.00,0.00]=10.62;[11.01, 21.49, 0.0];[11.23,20.94,-1.51];19:18:48.696;11.23;20.94;11.01;21.49;12;20.40;0.99;-1.09;0.77;-0.54
P5[13.00,24.00,0.00]=4.03;P9[13.00,16.50,0.00]=4.99;P6[6.70,18.03,0.00]=5.55;P4[11.00,11.00,0.00]=10.39;[11.03, 21.3, 0.0];[11.22,20.91,-1.55];19:18:48.796;11.22;20.91;11.03;21.3;12;20.40;0.97;-0.9;0.78;-0.51
P5[13.00,24.00,0.00]=3.71;P9[13.00,16.50,0.00]=5.06;P6[6.70,18.03,0.00]=5.57;P4[11.00,11.00,0.00]=10.44;[11.09, 21.37, 0.0];[11.21,20.94,-1.49];19:18:48.897;11.21;20.94;11.09;21.37;12;20.40;0.91;-0.97;0.79;-0.54
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=5.02;P6[6.70,18.03,0.00]=5.61;P4[11.00,11.00,0.00]=10.76;[11.06, 21.54, 1.11];[11.22,20.96,-1.46];19:18:48.996;11.22;20.96;11.06;21.54;12;20.40;0.94;-1.14;0.78;-0.56
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=4.99;P6[6.70,18.03,0.00]=5.54;P4[11.00,11.00,0.00]=10.13;[11.19, 21.12, 0.0];[11.22,20.97,-1.41];19:18:49.094;11.22;20.97;11.19;21.12;12;20.40;0.81;-0.72;0.78;-0.57
P5[13.00,24.00,0.00]=3.99;P9[13.00,16.50,0.00]=5.04;P6[6.70,18.03,0.00]=5.57;P4[11.00,11.00,0.00]=10.64;[10.96, 21.5, 0.0];[11.21,20.95,-1.48];19:18:49.197;11.21;20.95;10.96;21.5;12;20.40;1.04;-1.1;0.79;-0.55
P5[13.00,24.00,0.00]=4.03;P9[13.00,16.50,0.00]=5.02;P6[6.70,18.03,0.00]=5.55;P4[11.00,11.00,0.00]=10.54;[10.96, 21.42, 0.0];[11.20,20.92,-1.54];19:18:49.297;11.20;20.92;10.96;21.42;12;20.40;1.04;-1.02;0.8;-0.52
P5[13.00,24.00,0.00]=4.00;P9[13.00,16.50,0.00]=4.99;P6[6.70,18.03,0.00]=5.63;P4[11.00,11.00,0.00]=10.06;[11.23, 21.05, 0.0];[11.21,20.90,-1.59];19:18:49.394;11.21;20.90;11.23;21.05;12;20.40;0.77;-0.65;0.79;-0.5
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=5.00;P6[6.70,18.03,0.00]=5.51;P4[11.00,11.00,0.00]=10.11;[11.17, 21.03, 1.21];[11.20,20.93,-1.49];19:18:49.494;11.20;20.93;11.17;21.03;12;20.40;0.83;-0.63;0.8;-0.53
