Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM
P7[2.90,24.00,0.00]=3.74;P6[6.70,18.03,0.00]=4.95;P1[0.00,0.00,0.00]=20.34;P8[5.90,10.00,0.00]=11.07;[2.04, 20.26, 0.0];[2.32,20.33,-0.70];19:22:46.486;2.32;20.33;2.04;20.26;2;20.40;-0.04;0.14;-0.32;0.07
P7[2.90,24.00,0.00]=3.61;P6[6.70,18.03,0.00]=4.94;P1[0.00,0.00,0.00]=20.24;P8[5.90,10.00,0.00]=10.92;[2.09, 20.16, 0.0];[2.28,20.33,-0.69];19:22:46.487;2.28;20.33;2.09;20.16;2;20.40;-0.09;0.24;-0.28;0.07
P7[2.90,24.00,0.00]=3.70;P6[6.70,18.03,0.00]=4.91;P1[0.00,0.00,0.00]=20.17;P8[5.90,10.00,0.00]=11.05;[1.91, 20.13, 0.0];[2.24,20.31,-0.70];19:22:46.488;2.24;20.31;1.91;20.13;2;20.40;0.09;0.27;-0.24;0.09
P7[2.90,24.00,0.00]=3.63;P6[6.70,18.03,0.00]=4.88;P1[0.00,0.00,0.00]=20.26;P8[5.90,10.00,0.00]=10.97;[2.1, 20.18, 0.0];[2.24,20.31,-0.73];19:22:46.488;2.24;20.31;2.1;20.18;2;20.40;-0.1;0.22;-0.24;0.09
P7[2.90,24.00,0.00]=3.58;P6[6.70,18.03,0.00]=4.88;P1[0.00,0.00,0.00]=20.35;P8[5.90,10.00,0.00]=10.92;[2.25, 20.24, 0.0];[2.26,20.33,-0.80];19:22:46.489;2.26;20.33;2.25;20.24;2;20.40;-0.25;0.16;-0.26;0.07
P7[2.90,24.00,0.00]=3.64;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.32;P8[5.90,10.00,0.00]=10.91;[2.17, 20.22, 0.0];[2.20,20.40,-0.49];19:22:46.489;2.20;20.40;2.17;20.22;2;20.40;-0.17;0.18;-0.2;0.0
P7[2.90,24.00,0.00]=3.66;P6[6.70,18.03,0.00]=4.84;P1[0.00,0.00,0.00]=20.25;P8[5.90,10.00,0.00]=11.15;[1.93, 20.21, 0.0];[2.23,20.38,-0.60];19:22:46.490;2.23;20.38;1.93;20.21;2;20.40;0.07;0.19;-0.23;0.02
P7[2.90,24.00,0.00]=3.65;P6[6.70,18.03,0.00]=4.95;P1[0.00,0.00,0.00]=20.21;P8[5.90,10.00,0.00]=11.11;[1.87, 20.17, 0.0];[2.20,20.36,-0.62];19:22:46.491;2.20;20.36;1.87;20.17;2;20.40;0.13;0.23;-0.2;0.04
P7[2.90,24.00,0.00]=3.68;P6[6.70,18.03,0.00]=4.90;P1[0.00,0.00,0.00]=20.20;P8[5.90,10.00,0.00]=11.13;[1.87, 20.17, 0.0];[2.20,20.33,-0.66];19:22:46.491;2.20;20.33;1.87;20.17;2;20.40;0.13;0.23;-0.2;0.07
P7[2.90,24.00,0.00]=3.61;P6[6.70,18.03,0.00]=5.00;P1[0.00,0.00,0.00]=20.29;P8[5.90,10.00,0.00]=11.05;[1.99, 20.22, 0.0];[2.18,20.34,-0.71];19:22:46.533;2.18;20.34;1.99;20.22;2;20.40;0.01;0.18;-0.18;0.06
P7[2.90,24.00,0.00]=3.64;P6[6.70,18.03,0.00]=5.14;P1[0.00,0.00,0.00]=20.33;P8[5.90,10.00,0.00]=11.09;[1.91, 20.26, 0.0];[2.14,20.36,-0.78];19:22:46.634;2.14;20.36;1.91;20.26;2;20.40;0.09;0.14;-0.14;0.04
P7[2.90,24.00,0.00]=3.57;P6[6.70,18.03,0.00]=5.05;P1[0.00,0.00,0.00]=20.29;P8[5.90,10.00,0.00]=11.05;[1.96, 20.23, 0.0];[2.12,20.36,-0.73];19:22:46.734;2.12;20.36;1.96;20.23;2;20.40;0.04;0.17;-0.12;0.04
