Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM
P2[8.00,2.40,0.00]=4.29;P3[13.00,0.00,0.00]=1.59;P4[11.00,11.00,0.00]=8.83;P1[0.00,0.00,0.00]=12.30;[12.13, 2.19, 0.0];[12.58,1.94,0.00];19:11:09.213;12.58;1.94;12.13;2.19;11.90;1.40;-0.23;-0.79;-0.68;-0.54
P2[8.00,2.40,0.00]=4.24;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.75;P1[0.00,0.00,0.00]=12.02;[11.87, 2.22, -0.0];[12.53,1.92,0.14];19:11:09.214;12.53;1.92;11.87;2.22;11.90;1.40;0.03;-0.82;-0.63;-0.52
P3[13.00,0.00,0.00]=1.59;P2[8.00,2.40,0.00]=4.21;P1[0.00,0.00,0.00]=12.37;P4[11.00,11.00,0.00]=8.62;[12.15, 2.39, -0.0];[12.57,1.95,0.03];19:11:09.215;12.57;1.95;12.15;2.39;11.90;1.40;-0.25;-0.99;-0.67;-0.55
P2[8.00,2.40,0.00]=4.27;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.76;P1[0.00,0.00,0.00]=12.35;[12.16, 2.26, -0.0];[12.60,1.94,0.15];19:11:09.216;12.60;1.94;12.16;2.26;11.90;1.40;-0.26;-0.86;-0.7;-0.54
P2[8.00,2.40,0.00]=4.29;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.80;P1[0.00,0.00,0.00]=12.41;[12.22, 2.23, 0.0];[12.64,1.95,0.00];19:11:09.217;12.64;1.95;12.22;2.23;11.90;1.40;-0.32;-0.83;-0.74;-0.55
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=4.31;P4[11.00,11.00,0.00]=8.72;null;[12.34, 2.33, 0.0];[12.67,1.96,-0.13];19:11:09.218;12.67;1.96;12.34;2.33;11.90;1.40;-0.44;-0.93;-0.77;-0.56
P2[8.00,2.40,0.00]=4.22;P3[13.00,0.00,0.00]=1.57;P4[11.00,11.00,0.00]=8.80;P1[0.00,0.00,0.00]=12.29;[12.11, 2.22, 0.0];[12.66,1.94,0.10];19:11:09.218;12.66;1.94;12.11;2.22;11.90;1.40;-0.21;-0.82;-0.76;-0.54
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=4.25;P1[0.00,0.00,0.00]=12.30;P4[11.00,11.00,0.00]=8.79;[12.12, 2.22, -0.0];[12.65,1.92,-0.10];19:11:09.218;12.65;1.92;12.12;2.22;11.90;1.40;-0.22;-0.82;-0.75;-0.52
P3[13.00,0.00,0.00]=1.57;P2[8.00,2.40,0.00]=4.24;P1[0.00,0.00,0.00]=12.06;P4[11.00,11.00,0.00]=8.71;[11.9, 2.26, 0.0];[12.59,1.92,-0.21];19:11:09.219;12.59;1.92;11.9;2.26;11.90;1.40;0.0;-0.86;-0.69;-0.52
P2[8.00,2.40,0.00]=4.29;P3[13.00,0.00,0.00]=1.50;P4[11.00,11.00,0.00]=8.75;P1[0.00,0.00,0.00]=12.35;[12.16, 2.27, 0.0];[12.61,1.92,-0.03];19:11:09.219;12.61;1.92;12.16;2.27;11.90;1.40;-0.26;-0.87;-0.71;-0.52
