Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM;ERRO LS;ERRO_DWM
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.14;P3[13.00,0.00,0.00]=13.61;P5[13.00,24.00,0.00]=10.35;[12.81, 13.64, 0.0];[12.87,13.88,0.59];19:35:10.775;12.87;13.88;12.81;13.64;12.10;13.39;-0.71;-0.25;-0.77;-0.49;0.75;0.91
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.17;P3[13.00,0.00,0.00]=13.52;P5[13.00,24.00,0.00]=10.40;[12.92, 13.56, 0.0];[12.91,13.86,0.52];19:35:10.775;12.91;13.86;12.92;13.56;12.10;13.39;-0.82;-0.17;-0.81;-0.47;0.84;0.94
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.28;P3[13.00,0.00,0.00]=13.59;P5[13.00,24.00,0.00]=10.41;[13.0, 13.6, 0.0];[12.94,13.86,0.55];19:35:10.776;12.94;13.86;13.0;13.6;12.10;13.39;-0.9;-0.21;-0.84;-0.47;0.92;0.96
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.25;P3[13.00,0.00,0.00]=13.63;P5[13.00,24.00,0.00]=10.49;[12.95, 13.6, 0.0];[12.93,13.88,0.60];19:35:10.776;12.93;13.88;12.95;13.6;12.10;13.39;-0.85;-0.21;-0.83;-0.49;0.88;0.96
P9[13.00,16.50,0.00]=2.39;P4[11.00,11.00,0.00]=3.13;P3[13.00,0.00,0.00]=13.66;P5[13.00,24.00,0.00]=10.45;[12.71, 13.63, 0.0];[12.85,13.89,0.63];19:35:10.777;12.85;13.89;12.71;13.63;12.10;13.39;-0.61;-0.24;-0.75;-0.5;0.66;0.9
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.20;P3[13.00,0.00,0.00]=13.67;P5[13.00,24.00,0.00]=10.45;[12.81, 13.64, 0.0];[12.81,13.90,0.68];19:35:10.777;12.81;13.90;12.81;13.64;12.10;13.39;-0.71;-0.25;-0.71;-0.51;0.75;0.87
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.18;P3[13.00,0.00,0.00]=13.63;P5[13.00,24.00,0.00]=10.44;[12.83, 13.62, 0.0];[12.80,13.90,0.70];19:35:10.778;12.80;13.90;12.83;13.62;12.10;13.39;-0.73;-0.23;-0.7;-0.51;0.77;0.87
P9[13.00,16.50,0.00]=2.39;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.66;P5[13.00,24.00,0.00]=10.44;[12.92, 13.64, 0.0];[12.81,13.91,0.72];19:35:10.778;12.81;13.91;12.92;13.64;12.10;13.39;-0.82;-0.25;-0.71;-0.52;0.86;0.88
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.24;P3[13.00,0.00,0.00]=13.65;P5[13.00,24.00,0.00]=10.32;[12.89, 13.67, 0.0];[12.82,13.92,0.72];19:35:10.779;12.82;13.92;12.89;13.67;12.10;13.39;-0.79;-0.28;-0.72;-0.53;0.84;0.89
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.19;P3[13.00,0.00,0.00]=13.64;P5[13.00,24.00,0.00]=10.37;[12.84, 13.65, 0.0];[12.82,13.92,0.71];19:35:10.785;12.82;13.92;12.84;13.65;12.10;13.39;-0.74;-0.26;-0.72;-0.53;0.78;0.89
