Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.88;P8[5.90,10.00,0.00]=9.59;null;[2.26, 1.13, 0.0];[2.26,1.13,0.56];19:07:50.759;2.26;1.13;2.26;1.13;2.32;1.40;0.06;0.27;0.06;0.27
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.91;P8[5.90,10.00,0.00]=9.60;null;[2.23, 1.13, 0.0];[2.25,1.13,0.49];19:07:50.759;2.25;1.13;2.23;1.13;2.32;1.40;0.09;0.27;0.07;0.27
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.85;P8[5.90,10.00,0.00]=9.51;null;[2.26, 1.21, 0.0];[2.25,1.14,0.55];19:07:50.760;2.25;1.14;2.26;1.21;2.32;1.40;0.06;0.19;0.07;0.26
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.84;P8[5.90,10.00,0.00]=9.48;null;[2.26, 1.24, 0.0];[2.24,1.15,0.57];19:07:50.760;2.24;1.15;2.26;1.24;2.32;1.40;0.06;0.16;0.08;0.25
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.94;P8[5.90,10.00,0.00]=9.55;null;[2.19, 1.2, 0.0];[2.23,1.16,0.56];19:07:50.761;2.23;1.16;2.19;1.2;2.32;1.40;0.13;0.2;0.09;0.24
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.95;P8[5.90,10.00,0.00]=9.56;null;[2.18, 1.19, 0.0];[2.23,1.17,0.56];19:07:50.761;2.23;1.17;2.18;1.19;2.32;1.40;0.14;0.21;0.09;0.23
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.87;P8[5.90,10.00,0.00]=9.52;null;[2.25, 1.21, 0.0];[2.22,1.16,0.62];19:07:50.761;2.22;1.16;2.25;1.21;2.32;1.40;0.07;0.19;0.1;0.24
P1[0.00,0.00,0.00]=2.60;P2[8.00,2.40,0.00]=5.96;P8[5.90,10.00,0.00]=9.61;null;[2.22, 1.15, 0.72];[2.22,1.16,0.65];19:07:50.762;2.22;1.16;2.22;1.15;2.32;1.40;0.1;0.25;0.1;0.24
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.91;P8[5.90,10.00,0.00]=9.52;null;[2.21, 1.23, 0.0];[2.21,1.16,0.70];19:07:50.762;2.21;1.16;2.21;1.23;2.32;1.40;0.11;0.17;0.11;0.24
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.84;P8[5.90,10.00,0.00]=9.49;null;[2.27, 1.23, -0.0];[2.21,1.16,0.70];19:07:50.763;2.21;1.16;2.27;1.23;2.32;1.40;0.05;0.17;0.11;0.24
