Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P7[2.90,24.00,0.00]=3.74;P6[6.70,18.03,0.00]=4.95;P1[0.00,0.00,0.00]=20.34;P8[5.90,10.00,0.00]=11.07;[2.32,20.33,-0.70];19:22:46.486
P7[2.90,24.00,0.00]=3.61;P6[6.70,18.03,0.00]=4.94;P1[0.00,0.00,0.00]=20.24;P8[5.90,10.00,0.00]=10.92;[2.28,20.33,-0.69];19:22:46.487
P7[2.90,24.00,0.00]=3.70;P6[6.70,18.03,0.00]=4.91;P1[0.00,0.00,0.00]=20.17;P8[5.90,10.00,0.00]=11.05;[2.24,20.31,-0.70];19:22:46.488
P7[2.90,24.00,0.00]=3.63;P6[6.70,18.03,0.00]=4.88;P1[0.00,0.00,0.00]=20.26;P8[5.90,10.00,0.00]=10.97;[2.24,20.31,-0.73];19:22:46.488
P7[2.90,24.00,0.00]=3.58;P6[6.70,18.03,0.00]=4.88;P1[0.00,0.00,0.00]=20.35;P8[5.90,10.00,0.00]=10.92;[2.26,20.33,-0.80];19:22:46.489
P7[2.90,24.00,0.00]=3.64;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.32;P8[5.90,10.00,0.00]=10.91;[2.20,20.40,-0.49];19:22:46.489
P7[2.90,24.00,0.00]=3.66;P6[6.70,18.03,0.00]=4.84;P1[0.00,0.00,0.00]=20.25;P8[5.90,10.00,0.00]=11.15;[2.23,20.38,-0.60];19:22:46.490
P7[2.90,24.00,0.00]=3.65;P6[6.70,18.03,0.00]=4.95;P1[0.00,0.00,0.00]=20.21;P8[5.90,10.00,0.00]=11.11;[2.20,20.36,-0.62];19:22:46.491
P7[2.90,24.00,0.00]=3.68;P6[6.70,18.03,0.00]=4.90;P1[0.00,0.00,0.00]=20.20;P8[5.90,10.00,0.00]=11.13;[2.20,20.33,-0.66];19:22:46.491
P7[2.90,24.00,0.00]=3.61;P6[6.70,18.03,0.00]=5.00;P1[0.00,0.00,0.00]=20.29;P8[5.90,10.00,0.00]=11.05;[2.18,20.34,-0.71];19:22:46.533
P7[2.90,24.00,0.00]=3.64;P6[6.70,18.03,0.00]=5.14;P1[0.00,0.00,0.00]=20.33;P8[5.90,10.00,0.00]=11.09;[2.14,20.36,-0.78];19:22:46.634
P7[2.90,24.00,0.00]=3.57;P6[6.70,18.03,0.00]=5.05;P1[0.00,0.00,0.00]=20.29;P8[5.90,10.00,0.00]=11.05;[2.12,20.36,-0.73];19:22:46.734
P7[2.90,24.00,0.00]=3.54;P6[6.70,18.03,0.00]=5.04;P1[0.00,0.00,0.00]=20.19;P8[5.90,10.00,0.00]=11.21;[2.08,20.37,-0.76];19:22:46.834
P7[2.90,24.00,0.00]=3.56;P6[6.70,18.03,0.00]=5.07;P1[0.00,0.00,0.00]=20.25;P8[5.90,10.00,0.00]=11.16;[2.06,20.36,-0.61];19:22:46.933
P7[2.90,24.00,0.00]=3.60;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.27;P8[5.90,10.00,0.00]=11.12;[2.08,20.36,-0.64];19:22:47.034
P7[2.90,24.00,0.00]=3.47;P6[6.70,18.03,0.00]=4.86;P1[0.00,0.00,0.00]=20.38;P8[5.90,10.00,0.00]=11.14;[2.13,20.38,-0.64];19:22:47.134
