Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P5[13.00,24.00,0.00]=3.99;P9[13.00,16.50,0.00]=5.04;P6[6.70,18.03,0.00]=5.54;null;[11.17,20.88,-1.62];19:18:47.446
P5[13.00,24.00,0.00]=3.98;P9[13.00,16.50,0.00]=4.98;P6[6.70,18.03,0.00]=5.53;null;[11.17,20.87,-1.61];19:18:47.447
P5[13.00,24.00,0.00]=4.00;P9[13.00,16.50,0.00]=4.99;P6[6.70,18.03,0.00]=5.57;null;[11.18,20.87,-1.63];19:18:47.447
P5[13.00,24.00,0.00]=3.95;P9[13.00,16.50,0.00]=4.98;P6[6.70,18.03,0.00]=5.58;P4[11.00,11.00,0.00]=10.59;[11.19,20.87,-1.63];19:18:47.448
P5[13.00,24.00,0.00]=3.97;P9[13.00,16.50,0.00]=4.98;P6[6.70,18.03,0.00]=5.59;P4[11.00,11.00,0.00]=10.57;[11.20,20.86,-1.63];19:18:47.448
P5[13.00,24.00,0.00]=3.95;P9[13.00,16.50,0.00]=5.03;P6[6.70,18.03,0.00]=5.52;P4[11.00,11.00,0.00]=10.12;[11.19,20.87,-1.62];19:18:47.449
P5[13.00,24.00,0.00]=3.90;P9[13.00,16.50,0.00]=5.03;P6[6.70,18.03,0.00]=5.56;P4[11.00,11.00,0.00]=10.11;[11.19,20.88,-1.61];19:18:47.449
P5[13.00,24.00,0.00]=3.93;P9[13.00,16.50,0.00]=5.01;P6[6.70,18.03,0.00]=5.58;P4[11.00,11.00,0.00]=10.23;[11.19,20.89,-1.61];19:18:47.450
P5[13.00,24.00,0.00]=3.95;P9[13.00,16.50,0.00]=5.00;P6[6.70,18.03,0.00]=5.58;P4[11.00,11.00,0.00]=10.26;[11.20,20.88,-1.62];19:18:47.450
P5[13.00,24.00,0.00]=3.97;P9[13.00,16.50,0.00]=4.96;P6[6.70,18.03,0.00]=5.58;P4[11.00,11.00,0.00]=10.10;[11.21,20.87,-1.62];19:18:47.451
P5[13.00,24.00,0.00]=3.95;P9[13.00,16.50,0.00]=5.02;P6[6.70,18.03,0.00]=5.55;P4[11.00,11.00,0.00]=10.17;[11.20,20.88,-1.62];19:18:47.451
P5[13.00,24.00,0.00]=3.93;P9[13.00,16.50,0.00]=5.02;P6[6.70,18.03,0.00]=5.56;P4[11.00,11.00,0.00]=10.18;[11.20,20.88,-1.61];19:18:47.494
P5[13.00,24.00,0.00]=3.99;P9[13.00,16.50,0.00]=5.01;P6[6.70,18.03,0.00]=5.49;P4[11.00,11.00,0.00]=10.09;[11.18,20.88,-1.61];19:18:47.595
P5[13.00,24.00,0.00]=3.97;P9[13.00,16.50,0.00]=5.00;P6[6.70,18.03,0.00]=5.46;P4[11.00,11.00,0.00]=10.09;[11.16,20.87,-1.59];19:18:47.694
P5[13.00,24.00,0.00]=3.97;P9[13.00,16.50,0.00]=4.98;P6[6.70,18.03,0.00]=5.49;P4[11.00,11.00,0.00]=10.13;[11.15,20.87,-1.58];19:18:47.794
P5[13.00,24.00,0.00]=3.97;P9[13.00,16.50,0.00]=5.01;P6[6.70,18.03,0.00]=5.57;P4[11.00,11.00,0.00]=10.14;[11.16,20.87,-1.60];19:18:47.895
P5[13.00,24.00,0.00]=3.99;P9[13.00,16.50,0.00]=4.99;P6[6.70,18.03,0.00]=5.58;P4[11.00,11.00,0.00]=10.07;[11.18,20.86,-1.61];19:18:47.995
P5[13.00,24.00,0.00]=4.04;P9[13.00,16.50,0.00]=4.98;P6[6.70,18.03,0.00]=5.55;P4[11.00,11.00,0.00]=11.16;[11.18,20.85,-1.64];19:18:48.098
P5[13.00,24.00,0.00]=4.02;P9[13.00,16.50,0.00]=4.96;P6[6.70,18.03,0.00]=5.62;P4[11.00,11.00,0.00]=11.13;[11.20,20.84,-1.66];19:18:48.198
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=4.99;P6[6.70,18.03,0.00]=5.56;P4[11.00,11.00,0.00]=10.64;[11.21,20.88,-1.56];19:18:48.297
P5[13.00,24.00,0.00]=3.74;P9[13.00,16.50,0.00]=5.04;P6[6.70,18.03,0.00]=5.59;P4[11.00,11.00,0.00]=10.70;[11.21,20.91,-1.52];19:18:48.396
P5[13.00,24.00,0.00]=3.70;P9[13.00,16.50,0.00]=5.00;P6[6.70,18.03,0.00]=5.60;P4[11.00,11.00,0.00]=10.52;[11.22,20.93,-1.46];19:18:48.497
P5[13.00,24.00,0.00]=3.69;P9[13.00,16.50,0.00]=5.01;P6[6.70,18.03,0.00]=5.61;P4[11.00,11.00,0.00]=10.75;[11.23,20.96,-1.42];19:18:48.597
P5[13.00,24.00,0.00]=4.01;P9[13.00,16.50,0.00]=5.04;P6[6.70,18.03,0.00]=5.63;P4[11.00,11.00,0.00]=10.62;[11.23,20.94,-1.51];19:18:48.696
P5[13.00,24.00,0.00]=4.03;P9[13.00,16.50,0.00]=4.99;P6[6.70,18.03,0.00]=5.55;P4[11.00,11.00,0.00]=10.39;[11.22,20.91,-1.55];19:18:48.796
P5[13.00,24.00,0.00]=3.71;P9[13.00,16.50,0.00]=5.06;P6[6.70,18.03,0.00]=5.57;P4[11.00,11.00,0.00]=10.44;[11.21,20.94,-1.49];19:18:48.897
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=5.02;P6[6.70,18.03,0.00]=5.61;P4[11.00,11.00,0.00]=10.76;[11.22,20.96,-1.46];19:18:48.996
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=4.99;P6[6.70,18.03,0.00]=5.54;P4[11.00,11.00,0.00]=10.13;[11.22,20.97,-1.41];19:18:49.094
P5[13.00,24.00,0.00]=3.99;P9[13.00,16.50,0.00]=5.04;P6[6.70,18.03,0.00]=5.57;P4[11.00,11.00,0.00]=10.64;[11.21,20.95,-1.48];19:18:49.197
P5[13.00,24.00,0.00]=4.03;P9[13.00,16.50,0.00]=5.02;P6[6.70,18.03,0.00]=5.55;P4[11.00,11.00,0.00]=10.54;[11.20,20.92,-1.54];19:18:49.297
P5[13.00,24.00,0.00]=4.00;P9[13.00,16.50,0.00]=4.99;P6[6.70,18.03,0.00]=5.63;P4[11.00,11.00,0.00]=10.06;[11.21,20.90,-1.59];19:18:49.394
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=5.00;P6[6.70,18.03,0.00]=5.51;P4[11.00,11.00,0.00]=10.11;[11.20,20.93,-1.49];19:18:49.494
P5[13.00,24.00,0.00]=4.00;P9[13.00,16.50,0.00]=5.06;P6[6.70,18.03,0.00]=5.54;null;[11.19,20.92,-1.54];19:18:49.592
P5[13.00,24.00,0.00]=4.00;P9[13.00,16.50,0.00]=5.02;P6[6.70,18.03,0.00]=5.61;null;[11.20,20.90,-1.59];19:18:49.691
P5[13.00,24.00,0.00]=3.98;P9[13.00,16.50,0.00]=4.97;P6[6.70,18.03,0.00]=5.56;P4[11.00,11.00,0.00]=10.05;[11.20,20.89,-1.60];19:18:49.794
P5[13.00,24.00,0.00]=3.99;P9[13.00,16.50,0.00]=5.07;P6[6.70,18.03,0.00]=5.66;null;[11.21,20.89,-1.65];19:18:49.892
P5[13.00,24.00,0.00]=3.62;P9[13.00,16.50,0.00]=5.01;P6[6.70,18.03,0.00]=5.48;null;[11.20,20.93,-1.48];19:18:49.991
P5[13.00,24.00,0.00]=4.02;P9[13.00,16.50,0.00]=5.04;P6[6.70,18.03,0.00]=5.57;P4[11.00,11.00,0.00]=10.18;[11.19,20.91,-1.55];19:18:50.094
P5[13.00,24.00,0.00]=4.07;P9[13.00,16.50,0.00]=5.07;P6[6.70,18.03,0.00]=5.57;P4[11.00,11.00,0.00]=10.33;[11.18,20.90,-1.61];19:18:50.195
P5[13.00,24.00,0.00]=4.04;P9[13.00,16.50,0.00]=5.02;P6[6.70,18.03,0.00]=5.50;P4[11.00,11.00,0.00]=10.13;[11.16,20.89,-1.63];19:18:50.294
P5[13.00,24.00,0.00]=3.34;P9[13.00,16.50,0.00]=5.05;P6[6.70,18.03,0.00]=5.58;null;[11.18,20.97,-1.36];19:18:50.391
P5[13.00,24.00,0.00]=3.62;P9[13.00,16.50,0.00]=5.06;P6[6.70,18.03,0.00]=5.61;P4[11.00,11.00,0.00]=10.17;[11.20,21.00,-1.32];19:18:50.494
P5[13.00,24.00,0.00]=4.02;P9[13.00,16.50,0.00]=5.08;P6[6.70,18.03,0.00]=5.62;P4[11.00,11.00,0.00]=10.15;[11.20,20.97,-1.44];19:18:50.594
P5[13.00,24.00,0.00]=3.68;P9[13.00,16.50,0.00]=5.00;P6[6.70,18.03,0.00]=5.55;P4[11.00,11.00,0.00]=10.64;[11.20,20.98,-1.38];19:18:50.696
P5[13.00,24.00,0.00]=3.79;P9[13.00,16.50,0.00]=5.00;P6[6.70,18.03,0.00]=5.61;P4[11.00,11.00,0.00]=10.87;[11.22,20.98,-1.40];19:18:50.798
P5[13.00,24.00,0.00]=3.48;P9[13.00,16.50,0.00]=4.97;P6[6.70,18.03,0.00]=5.64;P4[11.00,11.00,0.00]=10.27;[11.25,21.00,-1.28];19:18:50.896
P5[13.00,24.00,0.00]=3.99;P9[13.00,16.50,0.00]=4.94;P6[6.70,18.03,0.00]=5.59;P4[11.00,11.00,0.00]=10.41;[11.25,20.96,-1.38];19:18:50.996
P5[13.00,24.00,0.00]=3.52;P9[13.00,16.50,0.00]=5.03;P6[6.70,18.03,0.00]=5.68;P4[11.00,11.00,0.00]=10.40;[11.27,21.00,-1.31];19:18:51.096
P5[13.00,24.00,0.00]=3.76;P9[13.00,16.50,0.00]=5.07;P6[6.70,18.03,0.00]=5.64;P4[11.00,11.00,0.00]=10.37;[11.27,21.00,-1.36];19:18:51.196
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=5.18;P6[6.70,18.03,0.00]=5.62;P4[11.00,11.00,0.00]=10.31;[11.24,21.03,-1.38];19:18:51.294
P5[13.00,24.00,0.00]=3.67;P9[13.00,16.50,0.00]=4.98;P6[6.70,18.03,0.00]=5.61;P4[11.00,11.00,0.00]=10.34;[11.25,21.02,-1.35];19:18:51.396
P5[13.00,24.00,0.00]=3.65;P9[13.00,16.50,0.00]=5.06;P6[6.70,18.03,0.00]=5.60;P4[11.00,11.00,0.00]=10.26;[11.25,21.03,-1.33];19:18:51.494
P5[13.00,24.00,0.00]=3.62;P9[13.00,16.50,0.00]=5.14;P6[6.70,18.03,0.00]=5.61;P4[11.00,11.00,0.00]=10.41;[11.23,21.06,-1.32];19:18:51.595
P5[13.00,24.00,0.00]=3.54;P9[13.00,16.50,0.00]=5.19;P6[6.70,18.03,0.00]=5.64;P4[11.00,11.00,0.00]=10.32;[11.22,21.10,-1.30];19:18:51.694
P5[13.00,24.00,0.00]=3.55;P9[13.00,16.50,0.00]=5.29;P6[6.70,18.03,0.00]=5.67;P4[11.00,11.00,0.00]=10.27;[11.20,21.14,-1.30];19:18:51.795
P5[13.00,24.00,0.00]=3.54;P9[13.00,16.50,0.00]=5.34;P6[6.70,18.03,0.00]=5.67;P4[11.00,11.00,0.00]=10.38;[11.18,21.19,-1.31];19:18:51.894
P5[13.00,24.00,0.00]=3.53;P9[13.00,16.50,0.00]=5.35;P6[6.70,18.03,0.00]=5.70;P4[11.00,11.00,0.00]=10.32;[11.17,21.22,-1.33];19:18:51.994
P5[13.00,24.00,0.00]=3.53;P9[13.00,16.50,0.00]=5.31;P6[6.70,18.03,0.00]=5.71;P4[11.00,11.00,0.00]=10.30;[11.17,21.24,-1.33];19:18:52.094
P5[13.00,24.00,0.00]=3.49;P9[13.00,16.50,0.00]=5.29;P6[6.70,18.03,0.00]=5.72;P4[11.00,11.00,0.00]=10.30;[11.18,21.26,-1.32];19:18:52.194
P5[13.00,24.00,0.00]=3.52;P9[13.00,16.50,0.00]=5.29;P6[6.70,18.03,0.00]=5.66;P4[11.00,11.00,0.00]=10.22;[11.17,21.27,-1.31];19:18:52.294
P5[13.00,24.00,0.00]=3.50;P9[13.00,16.50,0.00]=5.28;P6[6.70,18.03,0.00]=5.67;P4[11.00,11.00,0.00]=10.40;[11.17,21.27,-1.30];19:18:52.394
P5[13.00,24.00,0.00]=3.56;P9[13.00,16.50,0.00]=5.25;P6[6.70,18.03,0.00]=5.60;P4[11.00,11.00,0.00]=10.40;[11.16,21.26,-1.28];19:18:52.493
P5[13.00,24.00,0.00]=3.53;P9[13.00,16.50,0.00]=5.25;P6[6.70,18.03,0.00]=5.69;P4[11.00,11.00,0.00]=10.32;[11.17,21.26,-0.64];19:18:52.594
P5[13.00,24.00,0.00]=3.52;P9[13.00,16.50,0.00]=5.32;P6[6.70,18.03,0.00]=5.68;P4[11.00,11.00,0.00]=10.23;[11.16,21.27,-0.81];19:18:52.694
P5[13.00,24.00,0.00]=3.54;P9[13.00,16.50,0.00]=5.29;P6[6.70,18.03,0.00]=5.69;null;[11.16,21.27,-0.94];19:18:52.791
P5[13.00,24.00,0.00]=3.56;P9[13.00,16.50,0.00]=5.33;P6[6.70,18.03,0.00]=5.61;P4[11.00,11.00,0.00]=10.32;[11.14,21.28,-1.03];19:18:52.894
P5[13.00,24.00,0.00]=3.56;P9[13.00,16.50,0.00]=5.27;P6[6.70,18.03,0.00]=5.65;null;[11.14,21.27,-1.10];19:18:52.991
P5[13.00,24.00,0.00]=3.58;P6[6.70,18.03,0.00]=5.66;P9[13.00,16.50,0.00]=5.35;P4[11.00,11.00,0.00]=10.38;[11.13,21.28,-0.47];19:18:53.194
P5[13.00,24.00,0.00]=3.60;P9[13.00,16.50,0.00]=5.19;P6[6.70,18.03,0.00]=5.66;P4[11.00,11.00,0.00]=10.39;[11.15,21.26,-0.69];19:18:53.294
P5[13.00,24.00,0.00]=3.70;P9[13.00,16.50,0.00]=5.21;P6[6.70,18.03,0.00]=5.61;P4[11.00,11.00,0.00]=10.45;[11.15,21.23,-0.88];19:18:53.395
P5[13.00,24.00,0.00]=3.64;P9[13.00,16.50,0.00]=5.21;P6[6.70,18.03,0.00]=5.64;P4[11.00,11.00,0.00]=10.32;[11.15,21.22,-1.00];19:18:53.493
P5[13.00,24.00,0.00]=3.64;P9[13.00,16.50,0.00]=5.26;P6[6.70,18.03,0.00]=5.65;P4[11.00,11.00,0.00]=10.32;[11.16,21.21,-1.11];19:18:53.594
P5[13.00,24.00,0.00]=3.66;P9[13.00,16.50,0.00]=5.26;P6[6.70,18.03,0.00]=5.63;P4[11.00,11.00,0.00]=10.42;[11.15,21.21,-1.19];19:18:53.694
P5[13.00,24.00,0.00]=3.66;P9[13.00,16.50,0.00]=5.27;P6[6.70,18.03,0.00]=5.55;P4[11.00,11.00,0.00]=10.35;[11.12,21.21,-1.22];19:18:53.793
P5[13.00,24.00,0.00]=3.68;P9[13.00,16.50,0.00]=5.22;P6[6.70,18.03,0.00]=5.64;P4[11.00,11.00,0.00]=10.27;[11.14,21.20,-1.28];19:18:53.894
P5[13.00,24.00,0.00]=3.69;P9[13.00,16.50,0.00]=5.26;P6[6.70,18.03,0.00]=5.65;P4[11.00,11.00,0.00]=10.42;[11.14,21.20,-1.33];19:18:53.994
P5[13.00,24.00,0.00]=3.68;P9[13.00,16.50,0.00]=5.24;P6[6.70,18.03,0.00]=5.66;P4[11.00,11.00,0.00]=10.37;[11.15,21.19,-1.37];19:18:54.093
P5[13.00,24.00,0.00]=3.65;P9[13.00,16.50,0.00]=5.23;P6[6.70,18.03,0.00]=5.59;P4[11.00,11.00,0.00]=10.35;[11.14,21.19,-1.37];19:18:54.194
P5[13.00,24.00,0.00]=3.68;P9[13.00,16.50,0.00]=5.22;P6[6.70,18.03,0.00]=5.71;P4[11.00,11.00,0.00]=10.35;[11.16,21.18,-1.41];19:18:54.294
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=5.22;P6[6.70,18.03,0.00]=5.60;P4[11.00,11.00,0.00]=10.35;[11.15,21.17,-1.42];19:18:54.393
P5[13.00,24.00,0.00]=3.67;P9[13.00,16.50,0.00]=5.17;P6[6.70,18.03,0.00]=5.65;P4[11.00,11.00,0.00]=10.30;[11.16,21.16,-1.42];19:18:54.493
P5[13.00,24.00,0.00]=3.69;P9[13.00,16.50,0.00]=5.18;P6[6.70,18.03,0.00]=5.54;P4[11.00,11.00,0.00]=10.27;[11.14,21.16,-1.39];19:18:54.594
P5[13.00,24.00,0.00]=3.70;P9[13.00,16.50,0.00]=5.22;P6[6.70,18.03,0.00]=5.62;P4[11.00,11.00,0.00]=10.34;[11.14,21.16,-1.41];19:18:54.694
P5[13.00,24.00,0.00]=3.71;P9[13.00,16.50,0.00]=5.23;P6[6.70,18.03,0.00]=5.56;P4[11.00,11.00,0.00]=10.30;[11.12,21.16,-1.41];19:18:54.793
P5[13.00,24.00,0.00]=3.71;P9[13.00,16.50,0.00]=5.22;P6[6.70,18.03,0.00]=5.64;P4[11.00,11.00,0.00]=10.25;[11.13,21.15,-1.43];19:18:54.894
P5[13.00,24.00,0.00]=3.72;P9[13.00,16.50,0.00]=5.14;P6[6.70,18.03,0.00]=5.63;P4[11.00,11.00,0.00]=10.44;[11.14,21.14,-1.43];19:18:54.994
P5[13.00,24.00,0.00]=3.73;P9[13.00,16.50,0.00]=5.20;P6[6.70,18.03,0.00]=5.61;P4[11.00,11.00,0.00]=10.34;[11.14,21.14,-1.45];19:18:55.093
